sample,read
108AT,/Volumes/Seagate/monotrac/syn_reads_LRL/108AT.fq.gz
108BT,/Volumes/Seagate/monotrac/syn_reads_LRL/108BT.fq.gz
15BT-relapse,/Volumes/Seagate/monotrac/syn_reads_LRL/15BT-relapse.fq.gz
280104,/Volumes/Seagate/monotrac/syn_reads_LRL/280104.fq.gz
340AT,/Volumes/Seagate/monotrac/syn_reads_LRL/340AT.fq.gz
348BT,/Volumes/Seagate/monotrac/syn_reads_LRL/348BT.fq.gz
57AT,/Volumes/Seagate/monotrac/syn_reads_LRL/57AT.fq.gz
927,/Volumes/Seagate/monotrac/syn_reads_LRL/927.fq.gz
940,/Volumes/Seagate/monotrac/syn_reads_LRL/940.fq.gz
ABBA,/Volumes/Seagate/monotrac/syn_reads_LRL/ABBA.fq.gz
AGAL-CI-78-TCH312,/Volumes/Seagate/monotrac/syn_reads_LRL/AGAL-CI-78-TCH312.fq.gz
ATCC-30019,/Volumes/Seagate/monotrac/syn_reads_LRL/ATCC-30019.fq.gz
ATCC-30023,/Volumes/Seagate/monotrac/syn_reads_LRL/ATCC-30023.fq.gz
ATCC30019,/Volumes/Seagate/monotrac/syn_reads_LRL/ATCC30019.fq.gz
Alfort,/Volumes/Seagate/monotrac/syn_reads_LRL/Alfort.fq.gz
American-Strain,/Volumes/Seagate/monotrac/syn_reads_LRL/American-Strain.fq.gz
AnTat-12-1S,/Volumes/Seagate/monotrac/syn_reads_LRL/AnTat-12-1S.fq.gz
AnTat-3-1,/Volumes/Seagate/monotrac/syn_reads_LRL/AnTat-3-1.fq.gz
AnTat-3-3,/Volumes/Seagate/monotrac/syn_reads_LRL/AnTat-3-3.fq.gz
BIM-AnTat-8-1-P8,/Volumes/Seagate/monotrac/syn_reads_LRL/BIM-AnTat-8-1-P8.fq.gz
BoTat-1-1,/Volumes/Seagate/monotrac/syn_reads_LRL/BoTat-1-1.fq.gz
Bosendja,/Volumes/Seagate/monotrac/syn_reads_LRL/Bosendja.fq.gz
Canadian-Strain,/Volumes/Seagate/monotrac/syn_reads_LRL/Canadian-Strain.fq.gz
Colombia,/Volumes/Seagate/monotrac/syn_reads_LRL/Colombia.fq.gz
Dodola_943,/Volumes/Seagate/monotrac/syn_reads_LRL/Dodola_943.fq.gz
E28,/Volumes/Seagate/monotrac/syn_reads_LRL/E28.fq.gz
EATRO2340,/Volumes/Seagate/monotrac/syn_reads_LRL/EATRO2340.fq.gz
EATRO3,/Volumes/Seagate/monotrac/syn_reads_LRL/EATRO3.fq.gz
FEO-AnTat-16-1,/Volumes/Seagate/monotrac/syn_reads_LRL/FEO-AnTat-16-1.fq.gz
